,Unnamed: 0,Date,Post
4114,4114,2012-03-16,41
4842,4842,2012-03-16,49
6844,6844,2012-03-16,64
6298,6298,2012-03-16,49
7754,7754,2012-03-16,57
5752,5752,2012-03-16,51
1020,1020,2012-03-16,62
110,110,2012-03-16,64
292,292,2012-03-16,63
1930,1930,2012-03-16,64
3386,3386,2012-03-16,48
5206,5206,2012-03-16,46
3750,3750,2012-03-16,63
4296,4296,2012-03-16,48
2476,2476,2012-03-16,50
5934,5934,2012-03-16,65
2294,2294,2012-03-16,52
3204,3204,2012-03-16,45
7936,7936,2012-03-16,52
474,474,2012-03-16,64
1748,1748,2012-03-16,62
4660,4660,2012-03-16,35
2112,2112,2012-03-16,64
4661,4661,2012-03-23,49
5753,5753,2012-03-23,47
6481,6481,2012-03-23,69
111,111,2012-03-23,65
6299,6299,2012-03-23,57
5025,5025,2012-03-23,56
1931,1931,2012-03-23,67
1203,1203,2012-03-23,35
7937,7937,2012-03-23,47
6845,6845,2012-03-23,56
839,839,2012-03-23,64
7755,7755,2012-03-23,56
5207,5207,2012-03-23,54
293,293,2012-03-23,64
5935,5935,2012-03-23,60
2841,2841,2012-03-23,38
4843,4843,2012-03-23,57
657,657,2012-03-23,59
1021,1021,2012-03-23,63
6117,6117,2012-03-23,47
1567,1567,2012-03-23,58
4297,4297,2012-03-23,59
2113,2113,2012-03-23,56
3933,3933,2012-03-23,54
4115,4115,2012-03-23,57
5571,5571,2012-03-23,62
7209,7209,2012-03-23,52
5389,5389,2012-03-23,62
2659,2659,2012-03-23,58
6663,6663,2012-03-23,69
3023,3023,2012-03-23,40
7027,7027,2012-03-23,67
2295,2295,2012-03-23,47
3205,3205,2012-03-23,58
8119,8119,2012-03-23,59
3387,3387,2012-03-23,56
7573,7573,2012-03-23,56
475,475,2012-03-23,66
7391,7391,2012-03-23,44
3751,3751,2012-03-23,62
2477,2477,2012-03-23,59
1385,1385,2012-03-23,52
1749,1749,2012-03-23,56
4479,4479,2012-03-23,62
3569,3569,2012-03-23,66
658,658,2012-03-30,72
294,294,2012-03-30,66
7574,7574,2012-03-30,67
1022,1022,2012-03-30,67
3934,3934,2012-03-30,46
1932,1932,2012-03-30,70
1568,1568,2012-03-30,67
3752,3752,2012-03-30,67
4480,4480,2012-03-30,47
5208,5208,2012-03-30,46
6300,6300,2012-03-30,49
7210,7210,2012-03-30,36
1750,1750,2012-03-30,67
112,112,2012-03-30,67
3388,3388,2012-03-30,43
6846,6846,2012-03-30,64
4662,4662,2012-03-30,33
6482,6482,2012-03-30,70
5936,5936,2012-03-30,71
2296,2296,2012-03-30,53
2114,2114,2012-03-30,64
2660,2660,2012-03-30,42
6118,6118,2012-03-30,59
3024,3024,2012-03-30,45
7938,7938,2012-03-30,53
7756,7756,2012-03-30,69
2842,2842,2012-03-30,48
476,476,2012-03-30,69
7028,7028,2012-03-30,69
5026,5026,2012-03-30,64
5390,5390,2012-03-30,67
3206,3206,2012-03-30,45
2478,2478,2012-03-30,50
5754,5754,2012-03-30,56
8120,8120,2012-03-30,50
840,840,2012-03-30,67
4844,4844,2012-03-30,49
7392,7392,2012-03-30,51
6664,6664,2012-03-30,70
1386,1386,2012-03-30,66
5572,5572,2012-03-30,67
3570,3570,2012-03-30,51
4298,4298,2012-03-30,47
4116,4116,2012-03-30,36
1204,1204,2012-03-30,44
7215,7215,2012-04-05,44
8125,8125,2012-04-05,55
4485,4485,2012-04-05,58
845,845,2012-04-05,77
6123,6123,2012-04-05,65
6669,6669,2012-04-05,77
6305,6305,2012-04-05,53
3029,3029,2012-04-05,48
6851,6851,2012-04-05,76
2301,2301,2012-04-05,54
481,481,2012-04-05,79
2665,2665,2012-04-05,51
4121,4121,2012-04-05,45
4303,4303,2012-04-05,52
2483,2483,2012-04-05,55
1027,1027,2012-04-05,77
5213,5213,2012-04-05,50
1391,1391,2012-04-05,73
2119,2119,2012-04-05,76
299,299,2012-04-05,76
7033,7033,2012-04-05,77
7761,7761,2012-04-05,77
3575,3575,2012-04-05,62
7943,7943,2012-04-05,54
4849,4849,2012-04-05,53
1209,1209,2012-04-05,45
7579,7579,2012-04-05,77
1755,1755,2012-04-05,77
5941,5941,2012-04-05,82
3757,3757,2012-04-05,77
3211,3211,2012-04-05,49
4667,4667,2012-04-05,40
1937,1937,2012-04-05,79
5577,5577,2012-04-05,77
3939,3939,2012-04-05,50
3393,3393,2012-04-05,50
5031,5031,2012-04-05,76
7397,7397,2012-04-05,52
1573,1573,2012-04-05,78
117,117,2012-04-05,75
5759,5759,2012-04-05,58
2847,2847,2012-04-05,51
5395,5395,2012-04-05,77
663,663,2012-04-05,80
6487,6487,2012-04-05,77
1388,1388,2012-04-13,65
1752,1752,2012-04-13,70
2298,2298,2012-04-13,51
7030,7030,2012-04-13,71
842,842,2012-04-13,70
7212,7212,2012-04-13,40
3208,3208,2012-04-13,47
3754,3754,2012-04-13,69
7576,7576,2012-04-13,70
2844,2844,2012-04-13,45
5938,5938,2012-04-13,73
5756,5756,2012-04-13,52
5392,5392,2012-04-13,69
7940,7940,2012-04-13,51
2116,2116,2012-04-13,64
4300,4300,2012-04-13,48
2480,2480,2012-04-13,51
1206,1206,2012-04-13,41
1570,1570,2012-04-13,69
5210,5210,2012-04-13,49
5574,5574,2012-04-13,69
7758,7758,2012-04-13,70
1024,1024,2012-04-13,71
3572,3572,2012-04-13,45
1934,1934,2012-04-13,72
3390,3390,2012-04-13,44
3026,3026,2012-04-13,46
7394,7394,2012-04-13,46
6120,6120,2012-04-13,59
3936,3936,2012-04-13,49
478,478,2012-04-13,72
5028,5028,2012-04-13,64
2662,2662,2012-04-13,43
4846,4846,2012-04-13,52
6848,6848,2012-04-13,64
6302,6302,2012-04-13,52
6666,6666,2012-04-13,72
660,660,2012-04-13,68
6484,6484,2012-04-13,72
4664,4664,2012-04-13,36
8122,8122,2012-04-13,51
4482,4482,2012-04-13,42
114,114,2012-04-13,69
296,296,2012-04-13,68
4118,4118,2012-04-13,41
115,115,2012-04-20,66
6303,6303,2012-04-20,62
5393,5393,2012-04-20,66
7941,7941,2012-04-20,50
7031,7031,2012-04-20,70
5029,5029,2012-04-20,66
661,661,2012-04-20,68
1025,1025,2012-04-20,68
6849,6849,2012-04-20,66
3573,3573,2012-04-20,60
2117,2117,2012-04-20,66
2481,2481,2012-04-20,63
1571,1571,2012-04-20,68
4483,4483,2012-04-20,57
7395,7395,2012-04-20,43
5211,5211,2012-04-20,58
1935,1935,2012-04-20,71
5575,5575,2012-04-20,66
3937,3937,2012-04-20,58
7759,7759,2012-04-20,67
2845,2845,2012-04-20,43
7213,7213,2012-04-20,55
5757,5757,2012-04-20,49
8123,8123,2012-04-20,63
3391,3391,2012-04-20,55
297,297,2012-04-20,65
2299,2299,2012-04-20,50
6485,6485,2012-04-20,70
3755,3755,2012-04-20,66
1389,1389,2012-04-20,63
4847,4847,2012-04-20,62
479,479,2012-04-20,72
7577,7577,2012-04-20,67
4665,4665,2012-04-20,50
3209,3209,2012-04-20,60
5939,5939,2012-04-20,72
1207,1207,2012-04-20,39
6667,6667,2012-04-20,70
1753,1753,2012-04-20,67
3027,3027,2012-04-20,47
6121,6121,2012-04-20,55
4119,4119,2012-04-20,56
2663,2663,2012-04-20,54
843,843,2012-04-20,67
4301,4301,2012-04-20,61
1936,1936,2012-04-27,73
3938,3938,2012-04-27,51
1208,1208,2012-04-27,51
5940,5940,2012-04-27,83
6304,6304,2012-04-27,52
480,480,2012-04-27,73
7032,7032,2012-04-27,69
5212,5212,2012-04-27,51
662,662,2012-04-27,76
5576,5576,2012-04-27,69
5394,5394,2012-04-27,69
4120,4120,2012-04-27,44
5758,5758,2012-04-27,61
4666,4666,2012-04-27,43
5030,5030,2012-04-27,77
7396,7396,2012-04-27,57
1572,1572,2012-04-27,73
844,844,2012-04-27,68
8124,8124,2012-04-27,53
1390,1390,2012-04-27,70
7214,7214,2012-04-27,47
4302,4302,2012-04-27,49
3210,3210,2012-04-27,50
3574,3574,2012-04-27,47
298,298,2012-04-27,67
2482,2482,2012-04-27,53
6668,6668,2012-04-27,70
1026,1026,2012-04-27,71
2846,2846,2012-04-27,59
6486,6486,2012-04-27,70
7942,7942,2012-04-27,64
4848,4848,2012-04-27,52
7760,7760,2012-04-27,78
7578,7578,2012-04-27,80
1754,1754,2012-04-27,80
3756,3756,2012-04-27,69
3392,3392,2012-04-27,42
2664,2664,2012-04-27,41
2118,2118,2012-04-27,77
2300,2300,2012-04-27,64
6850,6850,2012-04-27,77
6122,6122,2012-04-27,66
4484,4484,2012-04-27,44
116,116,2012-04-27,67
3028,3028,2012-04-27,59
4689,4689,2012-05-10,54
7783,7783,2012-05-10,74
4325,4325,2012-05-10,60
2869,2869,2012-05-10,50
6145,6145,2012-05-10,65
1959,1959,2012-05-10,73
5417,5417,2012-05-10,70
321,321,2012-05-10,70
6873,6873,2012-05-10,81
3051,3051,2012-05-10,52
4871,4871,2012-05-10,64
1595,1595,2012-05-10,66
7237,7237,2012-05-10,57
5053,5053,2012-05-10,81
2687,2687,2012-05-10,59
7965,7965,2012-05-10,61
1413,1413,2012-05-10,61
1231,1231,2012-05-10,48
867,867,2012-05-10,71
1049,1049,2012-05-10,70
139,139,2012-05-10,68
3233,3233,2012-05-10,59
7055,7055,2012-05-10,72
8147,8147,2012-05-10,64
6691,6691,2012-05-10,73
4143,4143,2012-05-10,56
5781,5781,2012-05-10,55
6509,6509,2012-05-10,73
4507,4507,2012-05-10,57
7601,7601,2012-05-10,80
685,685,2012-05-10,63
3415,3415,2012-05-10,59
2141,2141,2012-05-10,81
5963,5963,2012-05-10,85
3597,3597,2012-05-10,60
2505,2505,2012-05-10,64
5599,5599,2012-05-10,70
7419,7419,2012-05-10,50
5235,5235,2012-05-10,62
6327,6327,2012-05-10,64
503,503,2012-05-10,72
3779,3779,2012-05-10,70
3961,3961,2012-05-10,62
1777,1777,2012-05-10,80
2323,2323,2012-05-10,61
5033,5033,2012-05-18,84
1575,1575,2012-05-18,69
847,847,2012-05-18,70
5579,5579,2012-05-18,72
4123,4123,2012-05-18,58
5397,5397,2012-05-18,72
3577,3577,2012-05-18,60
5761,5761,2012-05-18,57
4669,4669,2012-05-18,52
3395,3395,2012-05-18,58
665,665,2012-05-18,68
7217,7217,2012-05-18,57
7399,7399,2012-05-18,55
6671,6671,2012-05-18,73
7763,7763,2012-05-18,72
2121,2121,2012-05-18,84
483,483,2012-05-18,72
4851,4851,2012-05-18,65
3941,3941,2012-05-18,61
301,301,2012-05-18,71
6307,6307,2012-05-18,65
5943,5943,2012-05-18,89
1211,1211,2012-05-18,49
7035,7035,2012-05-18,72
1939,1939,2012-05-18,72
5215,5215,2012-05-18,61
1029,1029,2012-05-18,70
1393,1393,2012-05-18,64
7945,7945,2012-05-18,65
2849,2849,2012-05-18,56
4305,4305,2012-05-18,63
7581,7581,2012-05-18,85
2485,2485,2012-05-18,66
3759,3759,2012-05-18,72
2667,2667,2012-05-18,58
3031,3031,2012-05-18,59
6125,6125,2012-05-18,64
6853,6853,2012-05-18,84
8127,8127,2012-05-18,66
4487,4487,2012-05-18,58
119,119,2012-05-18,70
6489,6489,2012-05-18,73
2303,2303,2012-05-18,65
3213,3213,2012-05-18,62
1757,1757,2012-05-18,85
8128,8128,2012-05-25,67
2486,2486,2012-05-25,67
2122,2122,2012-05-25,83
5762,5762,2012-05-25,59
5580,5580,2012-05-25,79
4124,4124,2012-05-25,66
5398,5398,2012-05-25,79
3396,3396,2012-05-25,67
2304,2304,2012-05-25,62
120,120,2012-05-25,77
2668,2668,2012-05-25,67
1030,1030,2012-05-25,78
7946,7946,2012-05-25,62
3942,3942,2012-05-25,62
5944,5944,2012-05-25,88
7036,7036,2012-05-25,78
302,302,2012-05-25,78
1394,1394,2012-05-25,76
3032,3032,2012-05-25,55
3760,3760,2012-05-25,79
6126,6126,2012-05-25,72
3214,3214,2012-05-25,65
7582,7582,2012-05-25,86
2850,2850,2012-05-25,57
7764,7764,2012-05-25,82
6854,6854,2012-05-25,83
1758,1758,2012-05-25,86
4488,4488,2012-05-25,67
5216,5216,2012-05-25,62
7218,7218,2012-05-25,65
848,848,2012-05-25,78
6490,6490,2012-05-25,78
4306,4306,2012-05-25,65
666,666,2012-05-25,77
484,484,2012-05-25,78
7400,7400,2012-05-25,54
5034,5034,2012-05-25,83
4852,4852,2012-05-25,64
1940,1940,2012-05-25,78
1576,1576,2012-05-25,79
6672,6672,2012-05-25,78
4670,4670,2012-05-25,58
6308,6308,2012-05-25,64
1212,1212,2012-05-25,50
3578,3578,2012-05-25,70
3376,3376,2012-06-01,31
2466,2466,2012-06-01,35
7926,7926,2012-06-01,33
2284,2284,2012-06-01,33
828,828,2012-06-01,50
5924,5924,2012-06-01,60
3194,3194,2012-06-01,31
6288,6288,2012-06-01,35
5014,5014,2012-06-01,50
3740,3740,2012-06-01,48
1556,1556,2012-06-01,47
6834,6834,2012-06-01,50
8108,8108,2012-06-01,35
5560,5560,2012-06-01,48
7016,7016,2012-06-01,55
100,100,2012-06-01,49
4650,4650,2012-06-01,22
3558,3558,2012-06-01,33
3012,3012,2012-06-01,27
5742,5742,2012-06-01,36
6470,6470,2012-06-01,57
2648,2648,2012-06-01,30
4104,4104,2012-06-01,24
4468,4468,2012-06-01,30
7562,7562,2012-06-01,59
1374,1374,2012-06-01,43
7380,7380,2012-06-01,37
1738,1738,2012-06-01,59
646,646,2012-06-01,38
464,464,2012-06-01,52
5196,5196,2012-06-01,34
6652,6652,2012-06-01,57
282,282,2012-06-01,46
1010,1010,2012-06-01,50
2102,2102,2012-06-01,50
3922,3922,2012-06-01,34
1192,1192,2012-06-01,18
7744,7744,2012-06-01,47
2830,2830,2012-06-01,26
4832,4832,2012-06-01,35
6106,6106,2012-06-01,36
7198,7198,2012-06-01,23
5378,5378,2012-06-01,48
1920,1920,2012-06-01,54
4286,4286,2012-06-01,32
